maxPlayerLevel;numberOfAttemptedLevels;attemptsOnTheHighestLevel;totalNumOfAttempts;averageNumOfTurnsPerCompletedLevel;doReturnOnLowerLevels;numberOfBoostersUsed;fractionOfUsefullBoosters;totalScore;totalBonusScore;totalStarsCount;numberOfDaysActuallyPlayed
4;5;1;5;9.6;0;1;1;1028000;1150;12;1
13;14;5;18;14.9230769231;0;4;0.75;4082000;2600;33;2
13;14;1;15;16;0;5;1;3312000;2525;33;2
49;14;4;52;21.5;1;6;0.3333333333;3253000;2200;29;7
0;1;1;1;3;0;0;0;125000;250;0;1
34;22;9;40;22.6086956522;1;14;0.6428571429;5403000;3025;43;3
86;24;3;77;20.6086956522;0;13;0.8461538462;4564000;3975;54;8
33;34;6;47;17.9393939394;0;17;0.7647058824;9346000;5875;79;2
16;17;1;24;15.375;0;4;0.75;4165000;3000;40;2
6;7;1;7;11.2857142857;0;2;1;1659000;1450;15;2
42;43;4;84;19.3095238095;0;22;0.7727272727;10195000;7300;95;5
1;2;1;2;5.5;0;0;0;294000;500;3;1
10;11;1;28;14.6;1;4;0.5;3376000;2250;29;1
11;12;1;16;14.5;0;3;1;3196000;2450;30;1
10;11;2;14;13.8;0;2;1;2073000;1700;24;1
10;11;3;17;14.0833333333;1;2;1;2526000;1875;26;1
1;2;1;2;3.5;0;0;0;288000;500;3;1
15;16;1;22;16.2;0;6;0.6666666667;3524000;2925;39;3
5;6;1;6;10.4;0;1;1;1485000;1250;15;1
33;34;2;64;17.7058823529;1;17;0.6470588235;9246000;5825;79;4
44;5;4;37;24.5;0;6;0.5;742000;825;10;9
6;7;1;9;11.7142857143;0;1;1;1873000;1225;14;2
12;13;1;17;14.9285714286;1;3;1;3973000;2625;32;1
4;5;1;5;9.2;0;1;1;1309000;1150;11;1
11;12;3;17;14.8181818182;0;2;1;1882000;1750;23;1
11;12;5;21;14.0909090909;0;4;0.5;1963000;1750;25;2
2;3;1;3;5;0;0;0;403000;750;6;1
17;18;1;32;16.0476190476;1;2;1;5237000;3825;49;3
15;16;3;25;15.8;0;5;0.8;3567000;2825;37;2
25;13;2;15;21.8333333333;0;6;0.5;2997000;2100;27;2
4;5;1;5;8.4;0;1;1;1051000;1150;11;1
31;3;1;5;24;0;1;1;485000;500;6;1
10;11;7;23;13.3;0;5;0.2;2306000;1575;23;1
15;16;2;25;15.5333333333;0;4;1;3507000;3025;38;2
58;17;68;139;20.625;0;10;0;2761000;2425;33;10
0;1;1;1;3;0;0;0;113000;250;0;1
0;1;1;1;3;0;0;0;125000;250;0;1
58;59;13;210;19.7796610169;1;28;0.5357142857;13813000;9425;125;12
10;11;3;14;13.9;0;3;0.6666666667;1963000;1875;26;1
7;8;1;8;12.625;0;4;1;1780000;1550;16;1
5;6;1;6;9.6;0;1;1;1043000;1075;13;1
2;3;1;3;5;0;0;0;438000;750;6;1
1;2;2;3;0;1;0;0;0;0;0;1
10;11;3;15;13.2;0;5;0.6;1690000;1675;24;1
3;4;1;4;8.25;0;0;0;837000;1000;9;1
2;3;1;3;9;0;0;0;534000;650;6;1
6;7;1;7;12.1428571429;0;2;1;1471000;1550;17;1
34;1;5;5;0;0;0;0;0;0;0;1
0;1;1;1;3;0;0;0;113000;250;0;1
7;8;1;8;12.2857142857;0;2;1;1141000;1350;17;1
21;5;4;10;20;1;1;0;1106000;650;9;1
15;16;1;26;15.1333333333;0;3;1;4007000;2575;34;1
47;10;1;45;18.5555555556;0;2;0;1443000;1250;16;5
10;11;1;12;14.8181818182;0;3;1;2501000;2050;24;1
37;38;2;69;18.2702702703;0;11;0.8181818182;9794000;6525;87;6
6;7;1;7;9.8333333333;0;1;1;1054000;1300;16;1
0;1;1;1;3;0;0;0;150000;250;0;1
27;28;1;38;16.4444444444;0;11;0.8181818182;8863000;4825;63;2
1;2;1;2;4.5;0;0;0;288000;500;3;1
5;6;1;6;9.1666666667;0;1;1;1056000;1200;13;1
13;13;2;14;16.1666666667;0;4;0.75;2718000;2350;32;2
1;2;1;2;4;0;0;0;226000;400;3;1
58;10;9;42;19.7777777778;0;5;0.4;1435000;1025;16;8
8;9;2;11;14.5;0;4;0.75;1404000;1625;20;1
13;14;4;22;14.6153846154;0;7;0.4285714286;3030000;2350;32;2
9;10;2;17;15.4444444444;0;3;0.6666666667;1653000;1625;20;3
3;4;1;4;10.5;0;0;0;672000;900;9;1
9;10;2;11;13.5555555556;0;3;1;2139000;1875;23;2
6;7;1;7;11.7142857143;0;2;1;1226000;1375;16;1
21;22;1;35;17.2727272727;1;8;0.75;4980000;3900;50;4
17;17;3;19;18;0;7;0.8571428571;4235000;2700;36;1
42;9;1;20;24.875;0;6;0.3333333333;1987000;1450;18;3
50;51;11;122;19.42;0;16;0.6875;10579000;7800;102;8
35;2;1;16;30;0;1;0;541000;250;3;6
55;2;1;3;22.5;1;1;0;221000;0;2;1
33;34;3;76;17.3235294118;1;15;0.6666666667;8639000;5275;72;5
32;33;1;56;17.1818181818;0;24;0.6666666667;7990000;5400;72;6
3;4;1;4;7;0;0;0;511000;725;8;1
26;27;1;46;16.8518518519;0;7;1;6634000;4350;55;4
5;6;1;6;9;0;1;1;1047000;900;11;1
15;16;1;33;14.8095238095;1;7;1;4483000;3125;41;2
2;3;1;3;4.6666666667;0;0;0;402000;750;6;1
5;6;2;8;8.5;1;1;1;1209000;1250;15;1
5;6;1;6;9.1666666667;0;1;1;1381000;1400;15;1
10;11;1;15;13.6;0;1;1;1752000;1625;23;2
9;10;3;12;13.5555555556;0;2;1;2560000;2050;25;1
65;14;2;90;19.1176470588;1;16;0.5;3614000;1950;28;11
17;18;2;28;16.0588235294;0;8;0.875;4346000;2900;39;2
10;11;1;15;13.9;0;5;1;2324000;2150;27;1
2;3;1;3;6.6666666667;0;0;0;338000;575;6;1
13;14;1;25;14.6153846154;0;6;0.5;2411000;2250;31;1
11;12;1;12;13.6363636364;0;4;0.75;2063000;1775;25;1
22;2;1;3;18;1;1;0;417000;175;5;1
50;13;8;56;20.6666666667;1;7;0.7142857143;1838000;1250;19;9
50;1;9;9;0;0;6;0;0;0;0;4
111;39;3;210;21.8157894737;0;14;0.5714285714;7379000;6050;82;13
1;2;1;2;6;0;0;0;401000;500;3;1
4;5;3;8;7.25;0;3;0;686000;825;10;1
16;17;2;31;15.3125;0;4;0.75;4602000;3175;42;3
15;16;1;17;16.2;0;3;1;4739000;3200;40;2
21;2;4;5;21;0;0;0;104000;0;1;2
29;30;3;37;17.3666666667;1;11;0.9090909091;7684000;5150;67;7
9;10;2;14;14.3636363636;1;3;0.6666666667;3276000;2150;26;1
55;55;6;183;19.15;1;21;0.6666666667;16807000;9425;125;12
2;3;1;3;8;0;0;0;476000;750;6;1
13;14;10;23;16.4615384615;0;5;0.8;3125000;2625;33;1
0;1;1;1;0;0;0;0;0;0;0;1
16;17;1;31;14.75;0;4;0.5;4279000;2825;37;2
4;5;1;5;9.6;0;1;1;922000;1150;11;1
9;1;1;1;15;0;0;0;119000;0;0;1
27;28;2;49;17.0740740741;0;11;0.7272727273;7668000;4825;63;5
9;10;1;10;14.1;0;4;1;1899000;2050;25;1
2;3;1;3;4;0;0;0;458000;575;6;1
14;15;1;16;15.7857142857;0;2;1;3385000;2700;34;3
4;5;1;5;9.2;0;1;1;1130000;1250;12;1
24;2;1;2;24.5;0;2;1;535000;400;3;1
41;42;1;107;19.0731707317;1;16;0.75;11162000;6850;89;7
6;7;1;7;11;0;2;1;1680000;1650;17;1
10;11;1;11;13.7272727273;0;2;1;2369000;1775;23;1
12;13;1;17;15.3076923077;0;4;1;3070000;2175;26;2
2;3;1;3;4.6666666667;0;0;0;543000;750;6;1
39;6;17;45;25.5;0;8;0;793000;625;8;8
11;12;1;13;13.6666666667;0;2;1;2987000;2275;28;1
42;9;1;23;25.375;0;4;0.75;2461000;1550;19;9
42;43;1;61;19.380952381;0;20;0.75;10870000;7200;94;3
55;55;7;132;19.7636363636;1;29;0.6551724138;12140000;8900;117;9
0;1;1;1;3;0;0;0;113000;250;0;1
21;22;3;33;17.1428571429;0;5;1;4968000;3425;47;4
9;10;2;14;14.2;0;6;0.5;1993000;2050;25;1
4;5;1;5;8.2;0;1;1;881000;1150;11;1
16;17;4;26;15.75;0;6;0.6666666667;3980000;2650;34;2
58;59;20;165;19.9;1;36;0.5555555556;15187000;10050;132;9
6;7;1;7;11.1428571429;0;2;1;1824000;1475;15;1
5;6;3;8;10;0;2;0.5;1254000;1075;13;1
13;14;1;19;14.0769230769;0;4;1;3049000;2200;30;3
5;6;1;6;10.8333333333;0;1;1;1817000;1500;15;1
1;2;1;2;5;0;0;0;300000;500;3;1
5;6;1;7;9.4;0;1;1;909000;1150;14;1
112;13;19;237;29.7272727273;1;17;0.1176470588;1804000;1275;21;14
52;12;5;62;21.7272727273;0;0;0;1858000;1475;19;7
30;5;2;10;22.75;0;3;0.3333333333;946000;725;9;2
15;16;3;25;15.375;0;5;0.6;3758000;2900;34;1
4;5;1;5;9.4;0;1;1;2110000;1150;11;2
7;8;1;8;12.2857142857;0;3;0.6666666667;1534000;1375;17;1
15;16;5;25;15;0;4;0.75;2965000;2400;33;1
1;2;1;2;5.5;0;0;0;294000;500;3;1
59;2;2;4;26;0;0;0;113000;75;1;1
2;3;1;3;6.3333333333;0;0;0;420000;750;6;1
6;7;1;7;11.5714285714;0;3;1;1430000;1550;17;2
0;1;1;1;3;0;0;0;113000;250;0;1
40;2;1;4;20.5;0;0;0;318000;400;2;1
8;9;1;10;13.3333333333;1;2;1;2854000;2000;24;1
21;22;3;28;16.0952380952;0;2;1;4796000;3750;51;1
39;5;4;12;26.25;0;6;0.3333333333;1227000;825;10;4
50;8;12;37;21;1;3;0.3333333333;1328000;950;14;3
42;10;15;53;24.875;1;8;0.375;1563000;1425;18;6
6;7;1;8;10.8571428571;0;2;1;1562000;1200;14;1
30;31;1;51;17.7096774194;0;11;0.6363636364;7679000;5425;69;5
58;17;21;78;21.2631578947;1;7;0.8571428571;3104000;2375;32;7
0;1;1;1;3;0;0;0;113000;250;0;1
50;12;8;60;21.3636363636;0;2;0;1638000;1575;20;9
0;1;1;1;3;0;0;0;150000;250;0;1
6;7;1;8;12;0;2;0.5;1352000;1225;15;1
1;2;1;2;5;0;0;0;269000;500;3;1
41;12;1;22;26.0909090909;0;4;1;2035000;1575;23;3
6;7;1;10;10;1;2;1;1784000;1550;17;1
15;16;5;21;16.2666666667;0;6;1;3740000;2775;35;1
5;6;1;8;10.5;1;1;1;1430000;1325;15;1
21;18;8;62;18.0588235294;1;13;0.4615384615;3725000;2425;36;6
0;1;1;1;3;0;0;0;113000;250;0;1
15;16;8;27;15.8;0;7;0.7142857143;4795000;2950;38;2
9;10;3;17;13.6363636364;1;3;0.6666666667;2309000;1900;23;3
35;19;2;37;23.8333333333;0;13;0.4615384615;4069000;2825;39;4
14;15;1;19;15.4285714286;0;5;0.8;2883000;2325;32;1
46;47;4;126;18.5319148936;1;26;0.6538461538;11157000;7525;101;11
0;1;1;1;3;0;0;0;113000;250;0;1
10;11;2;16;14.8;0;3;1;1611000;1500;20;2
35;6;2;18;23.2;0;3;0.3333333333;1164000;725;12;4
4;5;1;5;9.8;0;1;1;1202000;1250;12;1
55;2;1;5;0;1;1;0;0;0;0;1
39;40;4;79;18.7435897436;0;23;0.6086956522;9752000;6650;89;5
10;11;4;22;15.6;0;3;0.3333333333;1660000;1675;22;5
33;34;12;53;18.1212121212;0;13;0.6923076923;8146000;5575;74;3
24;25;1;31;17.28;0;11;0.9090909091;6489000;4300;52;3
55;16;3;60;23;1;14;0.5714285714;2490000;1775;24;7
3;4;1;4;9.25;0;0;0;836000;1000;9;1
7;8;2;13;11.1428571429;0;6;0.3333333333;2128000;1375;17;1
21;22;5;41;16.7619047619;0;14;0.3571428571;4797000;3450;47;6
46;31;1;86;21.0666666667;0;16;0.625;7600000;4925;64;9
8;9;2;11;14.875;0;2;1;1448000;1500;19;3
21;22;3;38;16.619047619;0;11;0.7272727273;4067000;3150;42;5
1;2;1;2;5;0;0;0;338000;500;3;1
9;10;1;11;13.3333333333;0;3;0.6666666667;1806000;1700;21;1
0;1;1;1;3;0;0;0;125000;250;0;1
21;22;5;42;16.2380952381;0;7;1;4523000;3300;46;3
5;6;1;6;11.8333333333;0;2;1;1260000;1200;13;1
19;20;3;31;16.8421052632;0;6;0.6666666667;4339000;3300;42;3
52;1;8;8;0;0;1;0;0;0;0;2
42;10;5;49;23.8888888889;1;5;0.2;1413000;1275;18;5
1;2;1;2;3.5;0;0;0;344000;400;3;1
5;6;1;7;11;0;1;1;1315000;1325;13;1
55;1;5;5;20.3333333333;1;2;1;324000;0;1;2
4;5;1;5;9.2;0;1;1;779000;950;10;1
13;14;1;15;15.4285714286;0;4;1;3410000;2700;35;3
62;42;1;139;21.6341463415;0;14;0.8571428571;9615000;6950;90;12
21;3;1;5;19;0;2;0;311000;75;2;2
31;18;3;45;23.1111111111;0;5;0.4;3636000;2375;28;7
10;11;7;19;13.9;0;2;0.5;2211000;2050;28;3
20;21;1;33;16.2;0;9;0.6666666667;4215000;3275;44;5
0;1;1;1;3;0;0;0;113000;250;0;1
4;5;1;5;9;0;1;1;994000;1050;11;1
7;8;1;8;13.375;0;3;1;1731000;1700;18;4
12;13;1;19;15.0769230769;0;3;1;3497000;2550;29;3
7;8;1;9;12.125;0;2;1;1835000;1625;18;2
0;1;1;1;3;0;0;0;113000;250;0;1
7;8;2;9;12.7142857143;0;3;0.6666666667;1207000;1300;16;1
29;30;3;60;17.0689655172;0;15;0.7333333333;6742000;5425;70;8
39;40;13;99;18.6666666667;0;16;0.625;10639000;6575;89;8
15;16;2;22;14.6470588235;1;6;0.8333333333;3618000;2650;35;2
5;6;2;7;10;0;2;0.5;1213000;1250;15;1
2;3;1;3;6;0;0;0;388000;500;6;1
9;10;1;12;13.5;0;2;0.5;2161000;1875;23;3
9;10;3;12;14;0;2;1;2505000;2075;25;1
5;6;5;10;8.6;0;1;1;1074000;1150;14;1
10;11;7;20;13.3;0;2;1;2122000;1950;27;2
9;10;2;13;14.6;0;3;0.6666666667;2295000;1900;23;1
10;11;1;12;14.3;0;2;1;2163000;1875;26;1
9;10;1;11;14;0;2;1;2289000;2075;25;1
11;1;1;1;26;0;0;0;156000;75;0;1
4;5;2;6;9.8;0;2;0.5;956000;1150;12;1
3;4;1;4;5.6666666667;0;0;0;466000;750;9;1
2;3;1;3;6;0;0;0;339000;475;5;1
6;7;1;8;10;0;2;1;1606000;1550;17;1
11;12;3;15;13.6666666667;1;5;0.8;2332000;2025;28;1
39;7;15;69;26.3333333333;0;16;0.0625;1284000;1200;15;9
3;4;1;5;6.6;1;0;0;678000;825;9;1
0;1;1;1;3;0;0;0;113000;250;0;1
8;9;1;10;14.3333333333;0;4;0.75;1805000;1950;21;2
2;3;1;3;5;0;0;0;409000;650;6;1
12;13;1;16;14.8571428571;1;5;1;2878000;2425;30;2
20;21;2;27;17;0;6;0.6666666667;4957000;3550;46;3
15;16;5;26;15.9375;0;5;0.8;3704000;3000;37;3
25;26;7;56;16.76;0;11;0.7272727273;5652000;4050;54;5
0;1;1;1;3;0;0;0;113000;250;0;1
6;7;1;7;10.2857142857;0;2;1;1069000;1025;12;1
5;6;1;7;9.3333333333;0;1;1;1150000;1100;12;2
25;26;1;55;16.96;0;12;0.4166666667;6179000;4400;57;5
19;20;3;35;17.0526315789;0;5;0.6;4528000;3400;45;4
7;8;1;8;13.875;0;2;1;1677000;1625;18;1
14;15;2;20;14.7142857143;0;4;0.5;3133000;2600;34;1
14;15;1;21;15.5625;1;2;1;4317000;3050;40;1
55;55;6;254;19.4183673469;1;16;0.6875;23353000;11350;146;11
42;43;4;114;19.4047619048;0;18;0.7777777778;10575000;7175;93;11
34;3;5;7;25.5;0;0;0;211000;75;2;1
1;2;1;2;4.5;0;0;0;269000;400;3;1
9;10;3;12;13.6666666667;0;2;1;1717000;1775;22;1
9;10;4;13;13.7;0;2;1;2036000;2050;25;3
7;8;2;9;11.8571428571;0;2;1;1576000;1575;19;1
33;15;2;36;19;0;4;1;3496000;1975;30;4
10;11;5;15;15;0;4;0.75;1943000;2050;26;2
15;16;4;31;16.7142857143;1;5;0.6;5046000;3500;45;7
5;6;1;6;9.1666666667;0;1;1;1312000;1125;12;1
33;34;6;55;17.6764705882;0;19;0.5789473684;8256000;5575;74;4
5;6;1;6;10.1666666667;0;1;1;885000;1100;12;1
17;18;2;21;15.5882352941;0;4;1;3179000;2900;37;1
68;69;1;187;20.1714285714;1;15;0.7333333333;17489000;11825;153;10
112;14;25;112;27.4615384615;0;17;0.4117647059;1921000;1850;25;14
0;1;1;1;3;0;0;0;113000;250;0;1
9;10;1;10;15.1111111111;0;2;1;1744000;1775;22;1
0;1;1;1;3;0;0;0;113000;250;0;1
29;4;2;8;20.6666666667;0;3;0;916000;750;9;1
6;7;1;7;11;0;2;1;1339000;1650;17;1
6;7;1;7;9.3333333333;0;1;1;1270000;1325;16;2
21;5;11;56;18.8888888889;1;7;0;1724000;175;3;7
19;20;2;29;16.4210526316;0;6;1;5937000;3750;49;3
33;34;13;75;18.1818181818;0;19;0.4736842105;8625000;5550;74;7
7;8;1;10;12.5;1;3;0.6666666667;1317000;1225;15;1
39;40;3;66;18.9;0;18;0.8333333333;10877000;7050;90;4
14;15;1;18;16.2;0;6;0.8333333333;3730000;2850;37;1
14;15;1;19;15.1333333333;0;4;1;3655000;2975;36;1
50;51;10;125;19.32;0;33;0.6060606061;12226000;7825;103;10
0;1;1;1;3;0;0;0;163000;250;0;1
5;6;1;6;10.3333333333;0;1;1;1129000;1300;13;1
42;12;2;21;26.5;0;9;0.7777777778;2726000;1950;24;7
5;6;1;6;9.8333333333;0;1;1;1110000;1200;13;1
5;6;1;6;10.3333333333;0;2;1;1441000;1225;12;1
16;17;3;25;16.1764705882;0;3;0.6666666667;3414000;2750;32;2
6;7;1;7;12.4285714286;0;2;1;1477000;1550;16;1
1;2;1;2;4;0;0;0;257000;500;3;1
25;26;3;45;17.36;0;14;0.6428571429;6102000;4325;57;6
19;20;1;36;17.1052631579;0;7;0.4285714286;4606000;3350;43;5
1;2;1;2;4;0;0;0;238000;500;3;1
20;20;11;75;15.3684210526;1;3;1;9760000;4550;58;5
34;4;5;11;26.3333333333;0;6;0.1666666667;436000;225;5;2
4;5;1;5;8.75;0;0;0;647000;725;9;1
25;26;9;68;17.08;0;12;0.5833333333;8050000;4750;62;4
7;8;3;10;12.375;0;2;1;2441000;1625;17;1
42;13;2;63;25.5833333333;0;17;0.2941176471;2326000;2025;28;9
19;20;2;29;16.5263157895;0;3;1;4432000;3225;41;1
9;10;1;10;14.7;0;4;1;1836000;1950;24;1
50;12;2;19;21.3333333333;0;8;0.75;1950000;1725;21;4
2;3;1;3;5.5;0;0;0;276000;500;6;1
15;16;1;16;15.375;0;5;1;4015000;3125;38;1
33;34;17;69;17.5454545455;0;13;0.6153846154;7927000;5525;76;6
37;8;1;8;26.375;0;5;1;2396000;1400;17;3
21;22;8;37;17.2380952381;0;5;0.4;4352000;3275;43;4
1;2;2;3;3;0;0;0;150000;250;3;1
34;7;2;11;26.1666666667;0;7;0.7142857143;1091000;775;13;1
7;1;2;2;0;0;0;0;0;0;0;1
16;17;2;39;15;0;4;0.5;3809000;2850;36;5
39;26;1;52;23.84;0;9;0.8888888889;5488000;4000;52;4
58;59;10;126;19.6101694915;1;23;0.652173913;14834000;10275;134;4
0;1;1;1;3;0;0;0;125000;250;0;1
2;3;1;3;6.3333333333;0;0;0;402000;750;6;1
9;10;2;11;15.6666666667;0;3;0.6666666667;1581000;1600;20;2
46;47;3;104;19.0434782609;0;16;0.8125;12874000;8375;108;5
48;49;1;116;18.8979591837;1;17;0.5882352941;12078000;7900;105;5
62;63;7;204;19.746031746;1;23;0.5652173913;15876000;10625;141;6
7;8;1;8;10.2857142857;0;2;1;1886000;1550;19;1
6;7;1;7;10.7142857143;0;2;1;1723000;1350;15;2
8;9;1;9;13.7777777778;0;3;1;1771000;1650;19;2
6;7;2;8;10;0;3;0.3333333333;963000;1125;14;2
30;2;1;8;24.5;0;2;0;346000;325;1;3
55;55;9;254;19.5573770492;1;32;0.46875;14067000;9225;122;10
6;7;1;7;10.5714285714;0;3;1;1265000;1300;13;1
50;51;3;172;19.3725490196;1;19;0.6315789474;13542000;7725;103;6
14;15;2;22;14.7857142857;0;4;0.75;3242000;2775;37;2
19;13;5;25;19.6666666667;0;6;0.8333333333;2454000;1825;24;3
19;3;8;10;22.5;0;7;0.2857142857;261000;150;2;5
0;1;1;1;3;0;0;0;113000;250;0;1
27;28;1;49;16.8275862069;1;16;0.75;7577000;4975;65;4
21;9;2;27;21.0833333333;1;5;0.6;2855000;1550;20;3
7;8;3;18;10;0;0;0;1367000;1475;18;3
5;6;2;10;8.1666666667;1;1;1;959000;1150;14;2
41;8;1;17;23.5714285714;0;4;0.5;1246000;975;13;4
13;14;3;22;15.1176470588;1;8;0.75;4463000;2900;37;1
21;9;1;18;19.5;0;2;0.5;1606000;1125;15;2
20;21;1;37;16.5238095238;0;9;0.4444444444;5306000;3900;51;6
21;22;39;100;16.2380952381;0;10;0.4;5926000;3500;47;5
3;4;1;4;8;0;0;0;975000;1000;9;1
9;10;2;12;13.6;0;2;1;1720000;1800;22;1
16;17;1;32;15.625;0;7;0.4285714286;4550000;3025;38;2
15;2;4;6;18;0;1;1;183000;150;2;1
19;19;1;19;17.3157894737;0;4;1;4544000;3150;41;1
49;1;3;3;0;0;0;0;0;0;0;1
16;17;3;25;16.2941176471;0;3;0.6666666667;4391000;3450;40;4
21;22;5;28;16.1428571429;0;5;0.6;4546000;3375;46;3
5;6;2;7;9.2;0;1;1;1081000;1150;14;1
0;1;1;1;3;0;0;0;150000;250;0;1
10;11;1;13;14.5454545455;0;5;0.8;2639000;2225;25;1
58;12;1;31;22.6363636364;0;8;0.5;1872000;1350;19;5
1;2;1;2;3.5;0;0;0;219000;325;3;1
8;9;1;12;13.6666666667;0;2;0.5;1953000;1875;20;1
3;4;1;4;8.5;0;0;0;751000;900;9;1
3;4;1;4;7.25;0;0;0;617000;900;9;1
10;11;2;20;14.6;0;5;1;1881000;1700;23;3
13;14;2;17;15.3076923077;0;5;1;3774000;2800;35;4
4;5;1;5;8.6;0;1;1;1014000;1150;12;2
5;6;1;6;8.8;0;1;1;739000;775;10;1
0;1;1;1;3;0;0;0;150000;250;0;1
7;8;1;8;12.875;0;2;1;1603000;1550;16;1
2;3;1;3;9;0;0;0;496000;750;6;1
8;9;1;11;12.5;0;4;0.5;1918000;1900;23;2
0;1;1;1;3;0;0;0;113000;250;0;1
10;11;1;13;14.1818181818;0;2;1;2616000;2300;28;2
0;1;1;1;3;0;0;0;113000;250;0;1
16;1;1;1;0;0;0;0;0;0;0;1
27;28;8;49;16.5925925926;0;9;0.8888888889;6947000;5050;67;3
42;14;3;22;23.5384615385;0;6;0.8333333333;3991000;2175;30;1
33;34;5;150;16.7777777778;1;12;0.3333333333;14206000;6850;91;5
49;50;10;111;19.5102040816;0;31;0.5161290323;12513000;9025;117;10
1;2;1;2;3;0;0;0;113000;250;3;1
5;6;1;6;11;0;1;1;1314000;1300;13;1
12;13;1;13;14.6923076923;0;4;1;2966000;2050;25;3
6;7;1;7;11.2857142857;0;2;1;1892000;1750;18;1
16;17;5;25;15.25;0;4;1;4224000;3000;40;2
15;16;1;17;15.9375;0;5;1;4030000;3375;41;1
11;12;1;16;13.6363636364;0;5;0.8;2186000;2050;26;1
12;13;1;14;15.4615384615;0;4;1;2800000;2450;29;1
11;12;1;15;14.2727272727;0;4;0.75;2814000;2300;30;1
39;40;5;58;19.0256410256;0;20;0.8;11371000;6775;91;4
5;6;1;6;9.5;0;1;1;1070000;1125;12;1
42;9;6;48;24;0;2;1;1232000;950;14;9
12;13;1;17;14.8461538462;0;4;0.75;3663000;2450;32;2
1;2;1;2;5.5;0;0;0;319000;500;3;1
49;50;2;135;19.3673469388;0;39;0.4102564103;10693000;8075;106;6
8;9;1;9;14.125;0;3;1;1564000;1625;20;1
2;3;2;4;8;0;0;0;552000;750;6;2
50;13;3;59;19.9166666667;1;4;0.75;2204000;1600;23;9
24;25;1;35;16.88;0;9;0.7777777778;6131000;4150;52;2
2;3;1;3;8;0;0;0;378000;650;6;1
11;12;1;13;15.5;0;4;1;2499000;2450;28;1
23;24;1;42;16.92;1;14;0.4285714286;5507000;4150;54;3
1;2;1;2;5;0;0;0;282000;500;3;1
41;42;2;138;19.1463414634;0;21;0.3333333333;9638000;7000;93;11
42;43;2;63;19.4418604651;1;16;0.75;11907000;7625;101;4
0;1;1;1;3;0;0;0;113000;250;0;1
1;2;1;2;3;0;0;0;269000;500;3;1
14;15;1;18;16.6;0;3;1;3467000;2775;32;2
58;15;16;171;19.6111111111;1;41;0.1951219512;2898000;1775;27;12
21;22;2;41;17.1428571429;0;7;0.4285714286;4880000;3500;46;5
0;1;1;1;3;0;0;0;163000;250;0;1
42;2;5;7;27;0;3;0.3333333333;136000;75;1;4
65;12;3;39;21.4545454545;1;3;0.6666666667;2513000;1800;27;8
42;43;1;58;19.0930232558;0;13;0.7692307692;12158000;7500;97;4
2;3;1;3;5.3333333333;0;0;0;413000;650;5;1
21;22;27;58;17.1904761905;0;11;0.5454545455;4848000;3775;49;4
4;5;1;5;8.6;0;1;1;1057000;1075;10;1
