price,mileage,year,trim,engine,transmission
14999,101600,2006,ex,4 Cyl,Automatic
9495,143061,2006,ex,4 Cyl,Automatic
16990,57052,2006,ex,6 Cyl,Automatic
13995,103596,2006,ex,6 Cyl,Automatic
12810,94142,2006,ex,6 Cyl,Automatic
8500,149147,2006,ex,6 Cyl,Automatic
11949,61545,2006,ex,6 Cyl,Automatic
10288,108481,2006,ex,6 Cyl,Automatic
16595,80390,2006,ex,6 Cyl,Automatic
14995,86070,2006,ex,6 Cyl,Automatic
10490,107323,2006,lx,4 Cyl,Automatic
8980,127920,2006,lx,4 Cyl,Automatic
10995,76042,2006,lx,4 Cyl,Automatic
11991,110780,2006,ex,4 Cyl,Automatic
12589,88251,2006,ex,4 Cyl,Automatic
9000,131114,2006,ex,4 Cyl,Automatic
9995,146363,2006,ex,4 Cyl,Automatic
11995,119733,2006,ex,4 Cyl,Automatic
12895,65567,2006,ex,4 Cyl,Automatic
14971,71844,2006,ex,4 Cyl,Automatic
12998,103659,2006,ex,4 Cyl,Automatic
12441,98677,2006,exl,6 Cyl,Manual
13995,30000,2006,lx,6 Cyl,Automatic
15995,114000,2006,lx,6 Cyl,Automatic
13000,78852,2006,lx,6 Cyl,Automatic
10988,91877,2006,ex,6 Cyl,Automatic
13219,72075,2006,ex,6 Cyl,Automatic
11988,116000,2006,ex,6 Cyl,Automatic
11995,69194,2006,ex,6 Cyl,Automatic
11274,101148,2006,ex,6 Cyl,Automatic
12995,66215,2006,ex,6 Cyl,Automatic
12988,96798,2006,ex,6 Cyl,Automatic
13500,35004,2006,ex,6 Cyl,Automatic
13850,60328,2006,ex,6 Cyl,Automatic
7695,119365,2006,ex,6 Cyl,Automatic
7991,106705,2006,lx,4 Cyl,Automatic
8998,145670,2006,ex,4 Cyl,Automatic
13980,122381,2006,ex,4 Cyl,Automatic
12988,70233,2006,ex,4 Cyl,Automatic
12995,93392,2006,ex,4 Cyl,Automatic
12800,77148,2006,ex,4 Cyl,Automatic
11990,104064,2006,ex,6 Cyl,Manual
12998,83014,2006,ex,6 Cyl,Manual
8995,128373,2006,lx,6 Cyl,Automatic
12977,77334,2006,ex,6 Cyl,Automatic
11991,46900,2006,lx,4 Cyl,Manual
10995,74039,2006,ex,4 Cyl,Automatic
13995,66578,2006,lx,4 Cyl,Automatic
9686,98294,2006,lx,4 Cyl,Automatic
8988,92783,2006,lx,4 Cyl,Automatic
8880,109759,2006,lx,4 Cyl,Automatic
11394,72498,2006,ex,4 Cyl,Automatic
7991,141274,2006,ex,4 Cyl,Automatic
13500,35069,2006,ex,4 Cyl,Automatic
12838,91477,2006,ex,4 Cyl,Automatic
11998,100687,2006,ex,4 Cyl,Automatic
14995,36497,2006,ex,6 Cyl,Manual
10890,133000,2006,ex,6 Cyl,Manual
15588,49671,2006,ex,6 Cyl,Automatic
10991,127841,2006,ex,6 Cyl,Automatic
8950,127271,2006,ex,6 Cyl,Automatic
12995,81000,2006,ex,6 Cyl,Automatic
16988,33034,2006,ex,6 Cyl,Automatic
10665,116998,2006,ex,6 Cyl,Automatic
12995,96245,2006,ex,6 Cyl,Automatic
13990,91055,2006,ex,6 Cyl,Automatic
11900,120660,2006,ex,6 Cyl,Automatic
11991,80282,2006,lx,4 Cyl,Automatic
11588,95363,2006,ex,4 Cyl,Automatic
10750,111919,2006,ex,6 Cyl,Automatic
10991,65601,2006,lx,4 Cyl,Manual
12000,87283,2006,ex,4 Cyl,Automatic
9985,80890,2006,ex,4 Cyl,Automatic
13595,62836,2006,ex,4 Cyl,Automatic
12991,78363,2006,ex,4 Cyl,Automatic
8992,124222,2006,ex,4 Cyl,Automatic
13998,74078,2006,ex,4 Cyl,Automatic
11995,80897,2006,lx,6 Cyl,Automatic
13859,69891,2006,lx,6 Cyl,Automatic
10991,117051,2006,ex,6 Cyl,Automatic
12647,80486,2006,ex,6 Cyl,Automatic
14995,89933,2006,ex,6 Cyl,Automatic
8980,137117,2006,ex,6 Cyl,Automatic
15977,55670,2006,ex,6 Cyl,Automatic
14991,73483,2006,ex,6 Cyl,Automatic
12995,61807,2006,ex,6 Cyl,Automatic
13899,93409,2006,ex,6 Cyl,Automatic
10912,99974,2006,ex,4 Cyl,Manual
7995,135230,2006,ex,4 Cyl,Manual
12995,62938,2006,lx,4 Cyl,Automatic
7676,112178,2006,lx,4 Cyl,Automatic
12700,78697,2006,lx,4 Cyl,Automatic
9870,86800,2006,lx,4 Cyl,Automatic
11000,109953,2006,ex,4 Cyl,Automatic
10996,123627,2006,ex,4 Cyl,Automatic
17591,52604,2006,ex,4 Cyl,Automatic
11991,71507,2006,ex,4 Cyl,Automatic
9908,89476,2006,ex,4 Cyl,Automatic
9496,149269,2006,ex,4 Cyl,Automatic
8800,118500,2006,ex,4 Cyl,Automatic
14899,66860,2006,ex,6 Cyl,Automatic
11995,92477,2006,ex,6 Cyl,Automatic
13999,84862,2006,ex,6 Cyl,Automatic
14989,62039,2006,ex,6 Cyl,Automatic
13957,55999,2006,ex,6 Cyl,Automatic
12997,80831,2006,ex,6 Cyl,Automatic
11995,79502,2006,ex,6 Cyl,Automatic
13995,92313,2006,ex,6 Cyl,Automatic
13427,86568,2006,ex,6 Cyl,Automatic
11995,87319,2006,lx,4 Cyl,Automatic
7500,116811,2006,lx,4 Cyl,Automatic
10300,92420,2006,ex,4 Cyl,Automatic
12950,65280,2006,ex,4 Cyl,Automatic
12831,88119,2006,ex,4 Cyl,Automatic
11995,109734,2006,ex,4 Cyl,Automatic
11500,105371,2006,ex,4 Cyl,Automatic
11992,125000,2006,ex,4 Cyl,Automatic
10995,97813,2006,ex,4 Cyl,Automatic
12000,103008,2006,ex,4 Cyl,Automatic
11999,111437,2006,ex,4 Cyl,Automatic
14840,57209,2006,ex,6 Cyl,Automatic
13995,43891,2006,ex,6 Cyl,Automatic
8991,92167,2006,ex,6 Cyl,Automatic
13995,92081,2006,ex,6 Cyl,Automatic
16995,48226,2006,ex,6 Cyl,Automatic
11995,120738,2006,ex,6 Cyl,Automatic
8991,138416,2006,lx,4 Cyl,Automatic
14000,61171,2006,ex,4 Cyl,Automatic
10975,72276,2006,lx,4 Cyl,Automatic
8350,137738,2006,ex,4 Cyl,Automatic
10500,82324,2006,lx,4 Cyl,Automatic
9100,122413,2006,lx,4 Cyl,Automatic
9888,131090,2006,ex,4 Cyl,Automatic
11995,123000,2006,exl,4 Cyl,Automatic
9500,96805,2006,lx,4 Cyl,Automatic
10995,105722,2006,lx,4 Cyl,Automatic
14450,81869,2006,lx,4 Cyl,Automatic
10049,60982,2006,lx,4 Cyl,Automatic
10988,80526,2006,ex,4 Cyl,Automatic
12944,81046,2006,ex,4 Cyl,Automatic
13950,64326,2006,ex,4 Cyl,Automatic
13995,85359,2006,ex,4 Cyl,Automatic
13991,60360,2006,ex,4 Cyl,Automatic
10999,62954,2006,ex,4 Cyl,Automatic
10594,76530,2006,ex,4 Cyl,Automatic
13995,83829,2006,lx,6 Cyl,Automatic
14000,57694,2006,ex,6 Cyl,Automatic
12979,98399,2006,ex,6 Cyl,Automatic
10981,100905,2006,ex,6 Cyl,Automatic
11995,86086,2006,ex,6 Cyl,Automatic
11234,101881,2006,ex,6 Cyl,Automatic
16420,25543,2006,ex,6 Cyl,Automatic
8990,107952,2006,ex,6 Cyl,Automatic
10495,145863,2006,ex,6 Cyl,Automatic
12595,83558,2006,ex,6 Cyl,Automatic
12762,66496,2006,ex,6 Cyl,Automatic
13994,37158,2006,ex,6 Cyl,Automatic
13990,78828,2006,ex,6 Cyl,Automatic
6900,134450,2006,exl,4 Cyl,Manual
8995,99606,2006,lx,4 Cyl,Automatic
11250,59667,2006,lx,4 Cyl,Automatic
12070,112923,2006,lx,4 Cyl,Automatic
11490,84109,2006,lx,4 Cyl,Automatic
10995,122905,2006,lx,4 Cyl,Automatic
12490,72897,2006,lx,4 Cyl,Automatic
9991,97939,2006,lx,4 Cyl,Automatic
11950,119749,2006,lx,4 Cyl,Automatic
10988,62654,2006,lx,4 Cyl,Automatic
12999,74842,2006,lx,4 Cyl,Automatic
12999,84630,2006,ex,4 Cyl,Automatic
14000,62681,2006,ex,4 Cyl,Automatic
14991,27624,2006,ex,4 Cyl,Automatic
13987,49250,2006,ex,4 Cyl,Automatic
7995,145143,2006,ex,6 Cyl,Manual
11885,85158,2006,lx,6 Cyl,Automatic
9998,118457,2006,lx,6 Cyl,Automatic
14990,76270,2006,ex,6 Cyl,Automatic
12495,108821,2006,ex,6 Cyl,Automatic
10779,103216,2006,ex,6 Cyl,Automatic
14995,115051,2006,ex,6 Cyl,Automatic
13940,50824,2006,ex,6 Cyl,Automatic
9995,106251,2006,ex,6 Cyl,Automatic
10998,122923,2006,ex,6 Cyl,Automatic
17975,84504,2006,ex,6 Cyl,Automatic
11000,84603,2006,lx,4 Cyl,Automatic
11995,90364,2006,lx,4 Cyl,Automatic
11988,87449,2006,lx,4 Cyl,Automatic
10995,89900,2006,lx,4 Cyl,Automatic
8990,104001,2006,lx,4 Cyl,Automatic
14650,71793,2006,ex,4 Cyl,Automatic
12995,64673,2006,ex,4 Cyl,Manual
9998,82489,2006,lx,4 Cyl,Automatic
8995,72434,2006,lx,4 Cyl,Automatic
10999,104985,2006,lx,4 Cyl,Automatic
18988,19160,2006,ex,4 Cyl,Automatic
11995,121304,2006,ex,4 Cyl,Automatic
12491,76021,2006,ex,4 Cyl,Automatic
11995,84551,2006,ex,4 Cyl,Automatic
10998,89973,2006,ex,4 Cyl,Automatic
10998,139817,2006,ex,4 Cyl,Automatic
13995,77976,2006,ex,4 Cyl,Automatic
11988,114865,2006,ex,4 Cyl,Automatic
8950,141011,2006,ex,4 Cyl,Automatic
12600,65481,2006,ex,4 Cyl,Automatic
11995,87750,2006,lx,6 Cyl,Automatic
11900,105000,2006,ex,6 Cyl,Automatic
12991,83258,2006,ex,6 Cyl,Automatic
12556,81010,2006,ex,6 Cyl,Automatic
11988,84596,2006,ex,6 Cyl,Automatic
11881,98764,2006,ex,6 Cyl,Automatic
11738,101399,2006,ex,6 Cyl,Automatic
9975,134260,2006,ex,6 Cyl,Automatic
15995,103742,2006,ex,6 Cyl,Automatic
11259,114846,2006,ex,6 Cyl,Automatic
9690,103465,2006,ex,6 Cyl,Automatic
11996,67000,2006,lx,4 Cyl,Automatic
12995,37795,2006,lx,4 Cyl,Automatic
11450,83014,2006,ex,4 Cyl,Automatic
11995,79664,2006,ex,4 Cyl,Automatic
10492,110255,2006,ex,4 Cyl,Automatic
8999,140036,2006,ex,4 Cyl,Automatic
9299,112139,2006,lx,4 Cyl,Automatic
12995,72447,2006,lx,4 Cyl,Automatic
12440,87786,2006,lx,4 Cyl,Automatic
11636,118641,2006,lx,4 Cyl,Automatic
9999,108797,2006,lx,4 Cyl,Automatic
10995,72233,2006,lx,4 Cyl,Automatic
15000,63830,2006,ex,4 Cyl,Automatic
15995,59535,2006,ex,4 Cyl,Automatic
9995,140576,2006,exl,4 Cyl,Automatic
11995,78329,2006,ex,4 Cyl,Automatic
10500,108400,2006,ex,4 Cyl,Automatic
11995,105000,2006,ex,4 Cyl,Automatic
10991,97573,2006,ex,4 Cyl,Automatic
12999,81844,2006,lx,6 Cyl,Automatic
13995,90692,2006,ex,6 Cyl,Automatic
16950,27098,2006,ex,6 Cyl,Automatic
16900,129000,2006,ex,6 Cyl,Automatic
11995,87410,2006,ex,6 Cyl,Automatic
10999,111257,2006,ex,6 Cyl,Automatic
12997,98815,2006,ex,6 Cyl,Automatic
8998,55666,2006,lx,4 Cyl,Manual
9888,106320,2006,lx,4 Cyl,Manual
14489,62219,2006,ex,4 Cyl,Manual
9855,98589,2006,ex,4 Cyl,Manual
9995,99000,2006,ex,4 Cyl,Manual
11588,98730,2006,lx,4 Cyl,Automatic
10995,75445,2006,lx,4 Cyl,Automatic
12900,59666,2006,lx,4 Cyl,Automatic
9137,90403,2006,lx,4 Cyl,Automatic
11495,75110,2006,ex,4 Cyl,Automatic
13898,58911,2006,ex,4 Cyl,Automatic
12854,107354,2006,ex,4 Cyl,Automatic
11980,89876,2006,ex,4 Cyl,Automatic
11988,95079,2006,ex,4 Cyl,Automatic
10995,82113,2006,lx,6 Cyl,Automatic
12988,98700,2006,ex,6 Cyl,Automatic
10991,97245,2006,ex,6 Cyl,Automatic
12906,92771,2006,ex,6 Cyl,Automatic
12489,140392,2006,ex,6 Cyl,Automatic
11987,101774,2006,ex,6 Cyl,Automatic
12684,63710,2006,ex,6 Cyl,Automatic
12995,82708,2006,ex,6 Cyl,Automatic
13995,70134,2006,ex,6 Cyl,Automatic
12799,94325,2006,ex,4 Cyl,Automatic
13990,71000,2006,ex,4 Cyl,Automatic
10595,93745,2006,ex,4 Cyl,Automatic
10677,101256,2006,ex,4 Cyl,Automatic
12675,88447,2006,ex,6 Cyl,Manual
12275,71287,2006,lx,6 Cyl,Automatic
11377,91383,2006,lx,6 Cyl,Automatic
11273,142787,2006,ex,6 Cyl,Automatic
15596,64866,2006,ex,6 Cyl,Automatic
10900,116741,2006,ex,6 Cyl,Automatic
11491,82525,2006,ex,6 Cyl,Automatic
10900,105933,2006,ex,6 Cyl,Automatic
10995,85219,2006,lx,4 Cyl,Manual
9989,119615,2006,lx,4 Cyl,Manual
9991,101734,2006,ex,4 Cyl,Automatic
10508,107393,2006,ex,4 Cyl,Automatic
10995,115317,2006,ex,6 Cyl,Manual
13991,56801,2006,ex,6 Cyl,Automatic
12416,95111,2006,ex,6 Cyl,Automatic
12995,69407,2006,ex,6 Cyl,Automatic
11300,92109,2006,ex,6 Cyl,Automatic
12988,65670,2006,ex,6 Cyl,Automatic
12991,82981,2006,ex,6 Cyl,Automatic
11950,115786,2006,ex,6 Cyl,Automatic
10500,120989,2006,ex,6 Cyl,Automatic
13999,75032,2006,ex,6 Cyl,Automatic
13000,98105,2006,ex,6 Cyl,Automatic
8495,89218,2006,lx,4 Cyl,Manual
10991,86136,2006,lx,4 Cyl,Automatic
14995,42783,2006,lx,4 Cyl,Automatic
13999,71008,2006,lx,4 Cyl,Automatic
8991,101047,2006,lx,4 Cyl,Automatic
10500,94777,2006,lx,4 Cyl,Automatic
13691,60429,2006,lx,4 Cyl,Automatic
11930,111029,2006,ex,4 Cyl,Automatic
9495,108821,2006,ex,4 Cyl,Automatic
14995,45346,2006,ex,6 Cyl,Manual
12488,95799,2006,ex,6 Cyl,Automatic
10400,114662,2006,ex,6 Cyl,Automatic
18995,64570,2006,ex,6 Cyl,Automatic
11999,109229,2006,ex,6 Cyl,Automatic
12488,97717,2006,ex,6 Cyl,Automatic
16995,66531,2006,ex,6 Cyl,Automatic
12995,101452,2006,ex,6 Cyl,Automatic
14995,63266,2006,ex,6 Cyl,Automatic
13995,77937,2006,ex,6 Cyl,Automatic
12938,57616,2006,ex,4 Cyl,Manual
13000,77622,2006,ex,4 Cyl,Manual
9995,109124,2006,lx,4 Cyl,Automatic
10995,43549,2006,lx,4 Cyl,Automatic
12933,57353,2006,lx,4 Cyl,Automatic
8959,148499,2006,lx,4 Cyl,Automatic
12950,65975,2006,lx,4 Cyl,Automatic
10989,72520,2006,lx,4 Cyl,Automatic
9500,121642,2006,ex,4 Cyl,Automatic
12991,72281,2006,ex,4 Cyl,Automatic
12398,87281,2006,ex,4 Cyl,Automatic
13999,70151,2006,ex,4 Cyl,Automatic
9988,110129,2006,ex,4 Cyl,Automatic
11990,98069,2006,ex,4 Cyl,Automatic
10593,118022,2006,ex,6 Cyl,Manual
11300,97116,2006,lx,6 Cyl,Automatic
10977,100310,2006,ex,6 Cyl,Automatic
9750,103457,2006,ex,6 Cyl,Automatic
11990,91595,2006,ex,6 Cyl,Automatic
13490,95334,2006,ex,6 Cyl,Automatic
12995,66330,2006,ex,6 Cyl,Automatic
11995,63070,2006,ex,6 Cyl,Automatic
8900,92952,2006,lx,4 Cyl,Manual
9200,122986,2006,ex,4 Cyl,Manual
12000,78496,2006,lx,4 Cyl,Automatic
9900,97721,2006,lx,4 Cyl,Automatic
12456,67564,2006,lx,4 Cyl,Automatic
10995,69775,2006,ex,4 Cyl,Automatic
16000,77997,2006,exl,4 Cyl,Automatic
14700,61892,2006,ex,4 Cyl,Automatic
14755,43034,2006,ex,4 Cyl,Automatic
