tr_type;tr_description
7070;Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя)
7071;Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя)
7074;Перевод с карты на карту в овердрафте через Мобильный банк (без взимания комиссии)
7075;Перевод с карты на карту в овердрафте через Мобильный банк (со взиманием комиссии)
7081;Перевод/пополнение со счета на карту через УС (БП)
7082;Перевод/пополнение со счета на карту через Интернет (БП)
7090;Межфилиальные пополнения зарплатных карт
7091;Межфилиальные пополнения зарплатных карт по счету в овердрафте
7100;Межфилиальные перечисления процентов
7101;Межфилиальные перечисления процентов по счету карты в овердрафте
8000;Поправки по счету клиен. Зачисл.
8001;Установление расх. лимита по 
8002;Увеличение расходного лимита
8003;Списание подоходного налога с нерезидента
8035;Списание. Счет закрыт.
8050;Перевод средств с карты Visa Classic (E/M Standard) на V(E/M) Gold
8100;Списание после проведения претензионной работы
8140;Операции по утраченной карте
8145;Зачисление до завершения претензионной работы
8150;Корректировка зачисления
8151;Урегулирование безнадежной задолженности 
8210;Плата за приост. действия карты
8220;Плата за обработку счета банковской карты клиента при осущ. платежной системой экстренной выдачи наличных денежных средств
8230;Плата за предоставление по запросу клиента документов по операции с картой
1310;н/д
1410;н/д
1510;н/д
2325;н/д
2360;н/д
2440;н/д
3300;н/д
3810;н/д
4035;н/д
4045;н/д
4090;н/д
4600;н/д
7084;н/д
8146;н/д
1000;Покупка.ТУ СБ РФ
1010;Покупка. POS ТУ СБ РФ
1030;Оплата услуги. Банкоматы СБ РФ
1100;Покупка. ТУ  Россия
1110;Покупка. POS ТУ Россия
1200;Покупка. Зарубеж. ТУ
1210;Покупка. POS  Зарубеж. ТУ
2000;Наличные. СБ РФ
2001;Выдача наличных в подразделении Сбербанка (в других ТБ) 
2010;Выдача наличных в АТМ Сбербанк России
2011;Выдача наличных в АТМ Сбербанка (в других ТБ)
2020;Выдача наличных через POS Сбербанка
2021;Выдача наличных через POS Сбербанка (в других ТБ)
2100;Наличные.  Россия
2110;Наличные.   АТМ Россия
2200;Наличные.  Зарубеж. банк
2210;Наличные.  АТМ Зарубеж. банк
2320;Безналичный перевод денежных средств через POS
2321;Платеж с карты через ВСП
2322;Платеж с карты через АТМ
2323;Платеж с карты через Сбербанк ОнЛ@йн
2330;Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка)
2331;Списание с карты по операции “перевода с карты на карту” через АТМ (из одного ТБ в другой ТБ)
2332;Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного филиала)
2340;Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного тер.банка)
2341;Списание с карты по операции “перевода с карты на карту” через POS (из одного ТБ в другой ТБ)
2342;Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного филиала)
2350;Погашение кредита (в пределах одного филиала)
2351;Погашение кредита с карты через ВСП
2352;Погашение кредита с карты через АТМ
2353;Погашение кредита с карты через Сбербанк ОнЛ@йн
2354;Погашение кредита с карты по поручению клиента автомат.
2370;Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии)
2371;Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией)
2400;Перевод средств с карты на счет клиента в ВСП
2401;Перевод средств с карты на счет клиента через АТМ
2402;Перевод средств с карты на счет клиента через Сбербанк ОнЛ@йн
2403;Перевод средств с карты на счет клиента по поручению автомат.
2410;Перевод с карты на счет др.лица в одном тер. банке через ВСП
2411;Перевод с карты на счет др.лица в одном тер. банке через АТМ
2412;Перевод с карты на счет др.лица в одном тер. банке через Сбербанк ОнЛ@йн
2413;Перевод с карты на счет др.лица в одном тер. банке по поручению автомат.
2420;Перевод с карты на счет физ.лица в другом тер. банке через ВСП
2421;Перевод с карты на счет физ.лица в другом тер. банке через АТМ
2422;Перевод с карты на счет физ.лица в другом тер. банке через Сбербанк ОнЛ@йн
999999;XXX
2423;Перевод с карты на счет физ.лица в другом тер. банке по поручению автомат.
2430;Перевод с карты на счет физ.лица в другом банке через ВСП
2431;Перевод с карты на счет физ.лица в другом банке через АТМ
2432;Перевод с карты на счет физ.лица в другом банке через Сбербанк ОнЛ@йн
2433;Перевод с карты на счет физ.лица в другом банке по поручению автомат.
2900;Выдача наличных средств без предъявления карты
2901;Безналичное списание денежных средств со счета без предъявления карты
2990;Списание по требованию
2992;Списание средств для погашения задолженности по др.карте Держателя
3001;Комиссия за обслуживание ссудного счета
3030;Плата за обслуживание банковской карты (за последующие годы)
3120;Плата за досрочный перевыпуск карты
